NM;TIN;VDNM;LICNUM;LICBEG;LICEND
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ МЕДЯНІВСЬКИЙ ІГОР ВЯЧЕСЛАВОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100016;14.07.2021;14.07.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""КАСЕЛХІЛ""";42435258;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100017;15.07.2021;15.07.2026
"ПРИВАТНЕ АКЦIОНЕРНЕ ТОВАРИСТВО ""ВІННИЦЬКА ХАРЧОСМАКОВА ФАБРИКА""";30453389;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100018;16.07.2021;16.07.2026
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ НОВОСАД ДМИТРО ВОЛОДИМИРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100019;03.08.2021;03.08.2026
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ПЕРША ПОДІЛЬСЬКА ПАРОВА БРОВАРНЯ""";42976466;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100020;09.08.2021;09.08.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ГОНІР ГРУП""";42699158;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100021;19.08.2021;19.08.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ФАЗЕРС ГРУП""";41984570;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100022;25.08.2021;25.08.2026
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ МИРОНЕНКО ІВАННА ЮРІЇВНА;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100023;01.09.2021;01.09.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БІР ЛАЙНЕР""";43825185;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100024;10.09.2021;10.09.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПИВОВАРНЯ ""ПЕРША СТОЛИЦЯ""";43859020;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100025;22.09.2021;22.09.2026
"ПРИВАТНЕ ПIДПРИЄМСТВО ""БЕРІ БЕНЧ БРЕВЕРІ""";43933177;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100026;01.10.2021;01.10.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""НОВОБАВАРСЬКЕ""";43845018;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100027;08.10.2021;08.10.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АГРОІСТ БЕЙКІНГ ЕНД МІЛЛІНГ""";34591901;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100028;04.11.2021;04.11.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СПРАВЖНЯ БРОВАРНЯ""";43874122;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100029;15.11.2021;15.11.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КРАФТ ЕКСПЕРТ""";43026451;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100031;17.11.2021;17.11.2026
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ІЩЕНКО АНТОН ВОЛОДИМИРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100032;19.11.2021;19.11.2026
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ВИНОГРАДОВ ВАЛЕРІЙ ВІКТОРОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100033;26.11.2021;26.11.2026
